Frame,Timestamp,left,right,correlation
0,0.0,0.0,0.0,0.0
1,0.03333333333333333,3.573555332301518,4.237854674202666,0.0
2,0.06666666666666667,2.066072592724023,5.2332237417160155,0.0
3,0.1,4.315392598783375,6.50869174332783,0.0
4,0.13333333333333333,6.832452690842647,7.1668489073368375,0.0
5,0.16666666666666666,3.2466940558158353,8.901800230082655,0.0
6,0.2,2.7680601790248596,9.733788944629028,0.0
7,0.23333333333333334,5.898938240904664,12.494201509871957,0.0
8,0.26666666666666666,8.867143752896814,10.123793277945687,0.0
9,0.3,5.127908313750619,3.626183743558696,0.0
10,0.3333333333333333,6.033596914824651,9.751011459849488,0.0
11,0.36666666666666664,8.217937936303981,13.928770631254737,0.0
12,0.4,5.744074180150561,9.510217670591441,0.0
13,0.43333333333333335,3.8078479297503076,7.329313111846566,0.0
14,0.4666666666666667,4.978842938069212,7.350618747793307,0.0
15,0.5,3.9301677578859056,8.990624501891325,0.0
16,0.5333333333333333,4.997834212721691,8.93922378017695,0.0
17,0.5666666666666667,5.884735345442862,7.800210276340776,0.0
18,0.6,5.828802366915947,6.460275316787392,0.0
19,0.6333333333333333,8.705896841984458,12.165554828990967,0.0
20,0.6666666666666666,6.040923881347596,7.337455152564606,0.0
21,0.7,4.683774241018331,6.912570426050068,0.0
22,0.7333333333333333,7.416452717929071,10.245786979688265,0.0
23,0.7666666666666667,12.346701893772764,14.917108617267267,0.0
24,0.8,10.311216193006391,11.204087473643183,0.0
25,0.8333333333333334,12.247070432180514,14.951149477785165,0.0
26,0.8666666666666667,10.983605413591826,15.285538118632585,0.0
27,0.9,8.740202647335334,10.260413801427081,0.0
28,0.9333333333333333,7.085904030888121,8.984926398270991,0.0
29,0.9666666666666667,8.434517365662876,10.18264931289363,0.8174563166758709
30,1.0,5.556119989258848,7.080319576494046,0.7765088161169688
31,1.0333333333333334,8.031805198971764,7.4996636539348005,0.7447799082746469
32,1.0666666666666667,4.4557991630202345,3.798048458082755,0.7253230907678628
33,1.1,7.053964694794383,5.534864390400906,0.6918198478854606
34,1.1333333333333333,6.238875196712691,2.870930751219084,0.6639278936395482
35,1.1666666666666667,7.45571220453361,4.7281477201721565,0.654089974323657
36,1.2,7.256633558647626,3.4908869515157557,0.6724629259112519
37,1.2333333333333334,5.674821050428186,4.1299127507410835,0.7127731081441616
38,1.2666666666666666,7.0509197321835035,3.4929197055172985,0.6865310941472835
39,1.3,4.910412477101742,4.788105186162051,0.6873297438652559
40,1.3333333333333333,7.1584081233811,4.325153918248441,0.6816161277294165
41,1.3666666666666667,7.756553121981152,5.074543004400148,0.6687486036670948
42,1.4,9.24163715190108,12.700717152985007,0.6968878766802398
43,1.4333333333333333,13.599007911303534,13.099517804297891,0.7304841252398895
44,1.4666666666666666,9.48246494209162,14.631332914316468,0.7383294148529798
45,1.5,8.381490967072194,18.924266732282298,0.7187825481093364
46,1.5333333333333334,8.889612009535242,20.2170817765823,0.6986444662186627
47,1.5666666666666667,9.641236577213203,19.534889895242607,0.6950032091918944
48,1.6,7.68050377595811,16.45285569366803,0.6624669703044734
49,1.6333333333333333,18.327280014019614,14.790777158170902,0.6107397734729659
50,1.6666666666666667,8.416197005509842,9.591536709074603,0.6064286264569271
51,1.7,5.373919354593609,9.333414352311197,0.5938848075101061
