com_x,com_y,com_z,bos_x,bos_y,bos_z
0.007308157497356015,0.00335521351906561,0.8348875610738672,-0.10799974948167801,-0.021623462438583374,0.011055976152420044
0.013063477188028312,0.0019985197131992664,0.8482482362498518,-0.1061868816614151,-0.037895649671554565,0.01680728793144226
0.014806073575571014,-0.002181950155445325,0.8567083401064717,-0.1094476692378521,-0.052700936794281006,0.02097150683403015
0.0166749103014828,-0.004885365389367584,0.8522109360143701,-0.10674620047211647,-0.046093493700027466,0.022833704948425293
0.016246115167935688,-0.007419588601076472,0.8353587336437674,-0.09947606921195984,-0.02233421802520752,0.022010236978530884
0.016368598506976192,-0.007833001281945935,0.8333753576201774,-0.0958126038312912,-0.02393096685409546,0.02243661880493164
0.016456823820067985,-0.0068040333928600415,0.8423084859566019,-0.09781152755022049,-0.041266024112701416,0.022677093744277954
0.014452595608208767,-0.008219844879963063,0.8563598714528543,-0.10305791348218918,-0.06306970119476318,0.025743961334228516
0.011169467441817764,-0.010733126961095355,0.8686871375447959,-0.1136452928185463,-0.08208620548248291,0.027194976806640625
0.007708952127284899,-0.011067850463172435,0.855899677898294,-0.11204837262630463,-0.07548683881759644,0.027452737092971802
0.007181445989877948,-0.012057236558006652,0.8378614049765369,-0.1013764888048172,-0.07352191209793091,0.022827118635177612
0.005211986433113772,-0.012491535515554488,0.8219772395908191,-0.08897286653518677,-0.0703229010105133,0.016056090593338013
0.0006282660949935194,-0.010784348977669592,0.8186296687651704,-0.07887580990791321,-0.05848264694213867,0.011797308921813965
-0.0021471849212082476,-0.00560594864429966,0.8370233333879902,-0.0821550264954567,-0.054553061723709106,0.008708059787750244
-0.0034109558579662157,-0.003928210073581308,0.8524671636922384,-0.08251593261957169,-0.0518549382686615,0.0074748992919921875
-0.005855392059811981,-0.0035604214956683517,0.8588761627994557,-0.08160953223705292,-0.052071332931518555,0.010325789451599121
-0.006343541790040268,-0.0023958506162769047,0.8504554717771468,-0.06986869871616364,-0.04372483491897583,0.0034632980823516846
-0.005879393869870773,-0.0016248270068117358,0.8386037232093911,-0.05373436212539673,-0.0401574969291687,0.0017431676387786865
-0.0035661191148783572,-0.0012637544503455516,0.8474388001426572,-0.039189428091049194,-0.049243777990341187,0.0006476342678070068
-0.00014422205226716182,-0.0002895859300449328,0.8676193161036376,-0.03061538189649582,-0.058333635330200195,0.00458112359046936
-0.0005385682587662054,0.0006121350071763486,0.8793102412134086,-0.03711742162704468,-0.06407639384269714,0.006323665380477905
-0.003986704133210643,0.002365563000722598,0.8715540958027682,-0.04121977090835571,-0.06646031141281128,0.004106491804122925
-0.007967449065738466,0.006914973963973343,0.8565976073024093,-0.038508981466293335,-0.03902071714401245,4.526972770690918e-05
-0.013845398036702981,0.010776243671294178,0.8495933833942616,-0.04178713262081146,-0.010225445032119751,0.003627568483352661
-0.021035897755815134,0.017628278198742096,0.8518632626341234,-0.06805755943059921,-0.01767084002494812,0.0010477006435394287
-0.03538758976695438,0.02707244446200709,0.851657540150868,-0.08988940715789795,-0.006232500076293945,0.0019838809967041016
-0.04915350930745243,0.03844619790712991,0.8542139728864034,-0.10032845288515091,0.024418354034423828,0.0012995004653930664
-0.06414916529270108,0.043530821511822346,0.8554443003669862,-0.10545923048630357,0.04799067974090576,0.004803597927093506
-0.07858263473477092,0.05121633170112486,0.8561360742135713,-0.1228380436077714,0.04706376791000366,0.006165862083435059
-0.09446421026863078,0.06207129415324938,0.8694172742866698,-0.14146096259355545,0.041056931018829346,0.007115423679351807
-0.10682852198119444,0.06819019324036055,0.8719741843080007,-0.1475921105593443,0.04655236005783081,0.007340490818023682
-0.11225686112558968,0.07198515933367514,0.8761407342649273,-0.14778729900717735,0.05545511841773987,0.0058012306690216064
-0.11303260511448306,0.07783561587654134,0.8698609061779513,-0.14363925531506538,0.06268739700317383,0.0021369457244873047
-0.11888365417077976,0.07841649351901904,0.8690184626207554,-0.15380867570638657,0.06961965560913086,0.0006603896617889404
-0.12576632517319852,0.07436495829493767,0.8700356340856962,-0.16287991404533386,0.04779902100563049,0.0050201416015625
-0.13013218098910903,0.07644758038623357,0.8877339651507713,-0.16638394817709923,0.03559568524360657,0.013705432415008545
-0.1320426660119205,0.07998821753007106,0.898444701266545,-0.1634947545826435,0.025470256805419922,0.023882746696472168
-0.13427775252249927,0.08092824296765429,0.9090987743228992,-0.1573614701628685,0.01541745662689209,0.03292950987815857
