Frame,Timestamp,torque,jerk
0,0.0,0.0,0.0
1,0.03333333333333333,0.0,0.0
2,0.06666666666666667,7.460910138367116,45343.437604180064
3,0.1,8.96181925050831,56594.942419958905
4,0.13333333333333333,11.124181768758202,65670.71473916185
5,0.16666666666666666,9.448847920138661,73717.2337526273
6,0.2,8.350455164404874,65495.40384725678
7,0.23333333333333334,8.523548311999605,70796.70226184155
8,0.26666666666666666,8.072424169731265,67719.40718066038
9,0.3,6.875518510962605,54256.85056558653
10,0.3333333333333333,6.362578706335352,38501.32389717029
11,0.36666666666666664,5.5282328543354256,33180.66497289614
12,0.4,4.5713955801661,39166.0515651386
13,0.43333333333333335,6.004696289911136,42944.30791281919
14,0.4666666666666667,7.868962529834228,41429.298751942384
15,0.5,7.963335565747393,52790.6473566616
16,0.5333333333333333,7.949818245869826,55992.68079410608
17,0.5666666666666667,8.254984532685421,43742.79802161975
18,0.6,7.128380014029449,40965.652895357336
19,0.6333333333333333,6.803970548124333,49089.36896582558
20,0.6666666666666666,10.084879225112765,47253.490301848935
21,0.7,14.409372647714264,56013.53127882717
22,0.7333333333333333,16.303413422978785,90876.93207492372
23,0.7666666666666667,18.32161300518604,90146.55050374918
24,0.8,19.347662106179182,80174.00494142863
25,0.8333333333333334,17.5076256516318,90441.41331790345
26,0.8666666666666667,14.186045080179099,92038.21657062585
27,0.9,13.632626935068547,55518.61426268351
28,0.9333333333333333,13.1474178938399,48482.52721491175
29,0.9666666666666667,13.047370861780886,49517.32433345246
30,1.0,13.429339534340873,33643.17039210512
31,1.0333333333333334,13.977029379953965,21336.754882494446
32,1.0666666666666667,14.397256778046318,21720.18917230009
33,1.1,14.55266797769669,23943.34218937375
34,1.1333333333333333,13.350921596245996,35181.2867519103
35,1.1666666666666667,11.02252898997527,56151.81355993128
36,1.2,10.643741962347637,63044.97579347121
37,1.2333333333333334,11.084797299012322,73004.08287343678
38,1.2666666666666666,12.190080499499974,73929.14924971579
39,1.3,14.539543584312494,63066.98963502152
40,1.3333333333333333,19.017195739465883,49843.41506916867
41,1.3666666666666667,21.642507849402197,50293.1257838734
42,1.4,22.245546092581527,49005.53126813263
43,1.4333333333333333,20.213727965783068,66721.70584641988
44,1.4666666666666666,16.717209695184707,104104.65859425157
45,1.5,14.033652296396767,137300.9434974729
46,1.5333333333333334,13.598859132534423,134917.93914582866
47,1.5666666666666667,14.613620017705836,136852.06051554825
48,1.6,17.57078504563747,165595.9647140798
49,1.6333333333333333,22.70033358386734,150847.50256935382
50,1.6666666666666667,24.734292221418816,175830.83484382997
51,1.7,22.221344624176094,231394.56461656414
52,1.7333333333333334,20.28837750603882,231771.43201848693
53,1.7666666666666666,17.406647409972408,197046.06166999304
54,1.8,12.430709925404743,195127.03167239868
55,1.8333333333333333,10.981636580131319,135248.8557732643
56,1.8666666666666667,12.77376102294175,73096.23216301223
57,1.9,11.089872234626919,109316.63649460273
58,1.9333333333333333,11.313081269553814,114168.31530770117
59,1.9666666666666666,12.510436913218069,98061.53082100232
60,2.0,11.084844337465132,104475.83334223022
61,2.033333333333333,9.345305892523427,108537.29695765526
62,2.066666666666667,10.518742933975929,71662.63998209898
63,2.1,10.193696987060209,66899.99505897387
64,2.1333333333333333,9.773599083271993,58735.12284435935
65,2.1666666666666665,10.434409825259426,47057.22230212235
66,2.2,11.359429049897278,46107.63858573437
67,2.2333333333333334,10.832210738479048,55474.310524658395
68,2.2666666666666666,10.436381958394756,64065.15086411489
69,2.3,10.46996192514422,69619.92248567064
70,2.3333333333333335,9.995814954411918,81584.55196892103
71,2.3666666666666667,10.074423179306702,91575.42985879748
72,2.4,12.625577635952645,74300.85717259733
73,2.433333333333333,15.028868417947644,58460.820266439536
74,2.466666666666667,15.925208202665459,62891.04053789146
75,2.5,16.20990898992806,59795.345237014444
76,2.533333333333333,14.415006924149765,54804.84183743924
77,2.566666666666667,11.55567312778494,53048.75266947025
78,2.6,8.854029455891236,49513.73390927682
79,2.6333333333333333,6.7424059961758385,49635.90128742686
80,2.6666666666666665,6.47090572316544,34351.42306196607
81,2.7,7.055664024065726,47644.771775827794
82,2.7333333333333334,8.671705916542267,48034.37900322477
83,2.7666666666666666,9.475685546534969,55368.02746692028
84,2.8,10.051244376660733,59999.351645853094
85,2.8333333333333335,10.026149775698665,63812.999145160546
86,2.8666666666666667,10.268119112503054,45698.01172925565
87,2.9,9.453727975800039,45539.15938055531
88,2.933333333333333,9.243590091428981,38956.00119013675
89,2.966666666666667,9.213051044119933,40118.381610000346
90,3.0,8.277441785747616,58334.153412348285
91,3.033333333333333,8.39305868644546,57997.82442521407
92,3.066666666666667,8.103974270813628,57284.71126822381
93,3.1,7.833249458801225,62562.354745083394
94,3.1333333333333333,7.862595291170777,72740.33881739322
95,3.1666666666666665,9.902825072503912,63289.010459779834
96,3.2,10.405375931463634,64602.31970141687
97,3.2333333333333334,10.33332146218135,83856.58858843803
98,3.2666666666666666,10.588378886261392,94786.59959809472
99,3.3,11.848433507902126,70886.26468204518
100,3.3333333333333335,11.764593654293893,61291.79382418918
101,3.3666666666666667,11.398041014715593,67417.26253301984
102,3.4,10.700450838568917,126650.09019068992
103,3.433333333333333,12.290233280462148,164392.27686809833
104,3.466666666666667,15.082953884861416,226035.49450547583
105,3.5,16.757636436813332,382441.32789578463
106,3.533333333333333,20.48927742449066,397884.68510818196
107,3.566666666666667,24.183094904617704,377380.9471877138
108,3.6,25.184322767361124,536208.6558559348
109,3.6333333333333333,23.036920713220326,816565.9427994748
110,3.6666666666666665,23.927267030279808,697682.0665009884
111,3.7,22.47653809707426,736302.4967065885
112,3.7333333333333334,20.27531978491481,798273.338381651
113,3.7666666666666666,18.322627861470416,645364.5324009729
114,3.8,18.20011649360501,326553.6185733971
115,3.8333333333333335,15.261565249561505,310798.530818123
116,3.8666666666666667,12.779749503967707,250929.20849322807
117,3.9,11.266590497035992,157493.59820819032
118,3.933333333333333,10.978280831193844,107600.92218995844
119,3.966666666666667,11.046736867963865,207855.85442466647
120,4.0,12.414866048447475,222858.51278786315
121,4.033333333333333,13.714315213647444,276585.2177615491
122,4.066666666666666,14.766397237407656,378188.46121953824
123,4.1,15.493058838080774,388720.4561169556
124,4.133333333333334,14.44720911982788,279605.77820813924
