Frame,Timestamp,height,sway
0,0.0,0.8454827614176657,0.0
1,0.03333333333333333,0.8454827614176657,0.0
2,0.06666666666666667,0.8454827614176657,0.12493162847696944
3,0.1,0.8451803207269277,0.12400121627581222
4,0.13333333333333333,0.8439923706682777,0.12272229531983041
5,0.16666666666666666,0.8439226769375543,0.1218323187977853
6,0.2,0.8472179172436395,0.12456269600201982
7,0.23333333333333334,0.8513261060945447,0.12842360785423332
8,0.26666666666666666,0.8522233155658165,0.13070767475372452
9,0.3,0.8481570662926601,0.12894181476760164
10,0.3333333333333333,0.8406110257551231,0.12154851578788979
11,0.36666666666666664,0.8342782649237621,0.11155293953789211
12,0.4,0.833591762082551,0.10285434039638885
13,0.43333333333333335,0.8377947136471346,0.09589531189462074
14,0.4666666666666667,0.8434903600844003,0.08894800119832431
15,0.5,0.8474851709732445,0.08269303568189026
16,0.5333333333333333,0.8495682643241779,0.07588623236026884
17,0.5666666666666667,0.8525986948064578,0.07049927168769957
18,0.6,0.8566855104892482,0.06737102884533522
19,0.6333333333333333,0.8609052352943726,0.06786411846158377
20,0.6666666666666666,0.8645040121129762,0.06660858140540099
21,0.7,0.864934928763297,0.061647724391887385
22,0.7333333333333333,0.8617837180693941,0.060295864088612226
23,0.7666666666666667,0.856253177856886,0.05820745479359564
24,0.8,0.852785153273613,0.05316969806034575
25,0.8333333333333334,0.8525544918865287,0.0504472721379144
26,0.8666666666666667,0.8538630300503904,0.05234634881927154
27,0.9,0.8573738323808998,0.05088319696266992
28,0.9333333333333333,0.8614371612123263,0.04733883630528858
29,0.9666666666666667,0.8658225134880311,0.04456377162745253
30,1.0,0.8687058346502241,0.04308378746924849
31,1.0333333333333334,0.8712823123316609,0.0413969969360458
32,1.0666666666666667,0.8714059842914661,0.040229133530178325
33,1.1,0.8745579404600203,0.041922533194290276
34,1.1333333333333333,0.8790187338603438,0.04667304554433445
35,1.1666666666666667,0.8868663074893334,0.05373476186821953
36,1.2,0.89574322147395,0.05929041890430479
37,1.2333333333333334,0.9055275802650756,0.06064121736916006
38,1.2666666666666666,0.9125980846279409,0.05994549828554526
39,1.3,0.9187349172817761,0.05512781292296175
40,1.3333333333333333,0.9237796452417166,0.04716572243429953
41,1.3666666666666667,0.9301442356968437,0.03568285862618144
42,1.4,0.9355326606060868,0.025603495180691917
43,1.4333333333333333,0.9374942951881755,0.01667870170716822
44,1.4666666666666666,0.9303549418462218,0.011367175748994297
45,1.5,0.9149545020570035,0.009808605322466631
46,1.5333333333333334,0.8916943135248715,0.015763966359513784
47,1.5666666666666667,0.8599588532793906,0.0252255916011975
48,1.6,0.8251760258084981,0.0356251640267614
49,1.6333333333333333,0.7958912309972187,0.04465415151156088
50,1.6666666666666667,0.7720639240677637,0.05079025786218098
51,1.7,0.7536516080620468,0.05530036114507858
52,1.7333333333333334,0.7457803561226013,0.06008082141572102
53,1.7666666666666666,0.7451343078895281,0.06639468615269847
54,1.8,0.7541369620189873,0.0768044546275117
55,1.8333333333333333,0.7708797656143865,0.08985887835951092
56,1.8666666666666667,0.7924426799179404,0.10098705220828419
57,1.9,0.8161893463455219,0.11212326715587269
