Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[0.007680, -0.041655, 0.999103]","[0.046595, -0.026680, 0.998557]","[-0.001048, -0.200123, 0.979770]","[-0.287698, 0.058232, -0.955949]","[-0.252027, -0.130675, -0.958857]","[0.152133, -0.188475, -0.970223]","[-0.046050, -0.023842, -0.998655]","[-0.878230, 0.463391, -0.118242]","[-0.459818, 0.798009, -0.389549]","[0.586714, 0.761598, 0.275200]","[0.191956, 0.241434, 0.951243]"
"[-0.018242, -0.037120, 0.999144]","[0.042094, -0.039605, 0.998328]","[0.005512, -0.201495, 0.979474]","[-0.275207, 0.063344, -0.959296]","[-0.264638, -0.144022, -0.953532]","[0.170890, -0.160463, -0.972136]","[-0.044024, -0.038998, -0.998269]","[-0.883316, 0.443673, -0.151352]","[-0.488492, 0.804336, -0.338260]","[0.610571, 0.770370, 0.183668]","[0.296964, 0.339771, 0.892394]"
"[-0.022832, -0.041884, 0.998862]","[0.020154, -0.019802, 0.999601]","[-0.021563, -0.242983, 0.969791]","[-0.244397, 0.064831, -0.967505]","[-0.259211, -0.163121, -0.951946]","[0.212620, -0.097525, -0.972256]","[-0.038197, -0.026945, -0.998907]","[-0.923872, 0.357341, -0.136997]","[-0.497995, 0.793601, -0.349568]","[0.654195, 0.752728, 0.073684]","[0.345122, 0.400929, 0.848614]"
"[-0.030165, -0.046422, 0.998466]","[0.017456, -0.012217, 0.999773]","[-0.024958, -0.262021, 0.964740]","[-0.226900, 0.088344, -0.969903]","[-0.222461, -0.186600, -0.956918]","[0.233340, -0.042236, -0.971477]","[-0.029295, -0.052152, -0.998209]","[-0.942384, 0.322114, -0.090298]","[-0.546874, 0.774711, -0.317415]","[0.666578, 0.745433, 0.001902]","[0.377812, 0.478371, 0.792729]"
"[-0.015915, -0.051135, 0.998565]","[0.021322, -0.013398, 0.999683]","[-0.033624, -0.220361, 0.974839]","[-0.209149, 0.116857, -0.970876]","[-0.197078, -0.205770, -0.958550]","[0.221406, -0.019780, -0.974981]","[0.008749, -0.122737, -0.992401]","[-0.951699, 0.297689, -0.075173]","[-0.625328, 0.728607, -0.279458]","[0.634033, 0.773243, 0.009916]","[0.325873, 0.457711, 0.827229]"
"[-0.001723, -0.051491, 0.998672]","[0.049574, -0.012117, 0.998697]","[0.010739, -0.119701, 0.992752]","[-0.209954, 0.145322, -0.966851]","[-0.173978, -0.190109, -0.966225]","[0.166462, -0.073666, -0.983292]","[0.067448, -0.163143, -0.984294]","[-0.977797, 0.198698, -0.066580]","[-0.719755, 0.655197, -0.229499]","[0.614873, 0.786576, 0.056837]","[0.219543, 0.616209, 0.756365]"
"[-0.010996, -0.051475, 0.998614]","[0.077067, -0.004639, 0.997015]","[0.019502, -0.077550, 0.996798]","[-0.228696, 0.169622, -0.958607]","[-0.190157, -0.172414, -0.966496]","[0.129068, -0.114984, -0.984947]","[0.097903, -0.188105, -0.977257]","[-0.985357, 0.128586, -0.111974]","[-0.727756, 0.664675, -0.169051]","[0.585960, 0.808326, 0.057100]","[0.136732, 0.682246, 0.718224]"
"[-0.036548, -0.056877, 0.997712]","[0.075273, 0.017942, 0.997002]","[0.065704, 0.003915, 0.997831]","[-0.240917, 0.189289, -0.951908]","[-0.189249, -0.170717, -0.966975]","[0.090876, -0.117503, -0.988906]","[0.116620, -0.215802, -0.969448]","[-0.974387, 0.081030, -0.209770]","[-0.722709, 0.674348, -0.151477]","[0.546174, 0.837389, 0.021760]","[0.042520, 0.672548, 0.738831]"
"[-0.056925, -0.067604, 0.996087]","[0.053729, 0.066193, 0.996359]","[0.057121, 0.079834, 0.995170]","[-0.213197, 0.214945, -0.953072]","[-0.186132, -0.135682, -0.973111]","[0.061667, -0.059047, -0.996349]","[0.125311, -0.189752, -0.973802]","[-0.957896, -0.004138, -0.287086]","[-0.718220, 0.689140, -0.096155]","[0.525251, 0.850553, -0.025904]","[-0.150788, 0.673882, 0.723288]"
"[-0.071186, -0.069233, 0.995058]","[0.027812, 0.099932, 0.994606]","[-0.016530, 0.097481, 0.995100]","[-0.243610, 0.185160, -0.952035]","[-0.158729, -0.084913, -0.983664]","[-0.002635, 0.010625, -0.999940]","[0.158341, -0.131141, -0.978637]","[-0.906730, -0.053044, -0.418362]","[-0.600696, 0.796246, -0.071811]","[0.449697, 0.891599, -0.053140]","[-0.365094, 0.559098, 0.744390]"
