Torso_Lower,Torso_Upper,Head_Neck,L_UpperLeg,L_LowerLeg,R_UpperLeg,R_LowerLeg,L_UpperArm,L_LowerArm,R_UpperArm,R_LowerArm
"[0.057731, -0.206621, 0.976717]","[0.202666, -0.105543, 0.973544]","[-0.195673, -0.305002, 0.932033]","[-0.291837, 0.207622, -0.933662]","[-0.327840, -0.209491, -0.921214]","[0.475276, -0.098200, -0.874339]","[-0.135049, -0.122238, -0.983270]","[-0.864578, 0.437005, -0.248056]","[-0.361910, 0.840609, -0.402986]","[0.866808, 0.199301, 0.457081]","[0.634526, 0.368818, 0.679227]"
"[0.097659, -0.182198, 0.978400]","[0.145510, -0.138748, 0.979579]","[-0.190333, -0.333816, 0.923223]","[-0.330750, 0.207559, -0.920611]","[-0.347344, -0.250165, -0.903753]","[0.423290, -0.089300, -0.901583]","[-0.134552, -0.154805, -0.978740]","[-0.867273, 0.431277, -0.248671]","[-0.459145, 0.799853, -0.386549]","[0.883185, 0.237259, 0.404590]","[0.634646, 0.285286, 0.718218]"
"[0.129440, -0.150942, 0.980032]","[0.094873, -0.169647, 0.980928]","[-0.175577, -0.370505, 0.912085]","[-0.356259, 0.177525, -0.917368]","[-0.377760, -0.272906, -0.884771]","[0.367979, -0.092040, -0.925267]","[-0.124959, -0.177963, -0.976071]","[-0.869817, 0.422453, -0.254856]","[-0.510300, 0.788664, -0.342934]","[0.887598, 0.307001, 0.343394]","[0.658965, 0.275627, 0.699854]"
"[0.148123, -0.121042, 0.981534]","[0.062394, -0.185286, 0.980702]","[-0.147225, -0.371344, 0.916749]","[-0.357542, 0.153370, -0.921217]","[-0.394612, -0.268016, -0.878891]","[0.311356, -0.096174, -0.945414]","[-0.097733, -0.178078, -0.979151]","[-0.890472, 0.368363, -0.267148]","[-0.509014, 0.801601, -0.313593]","[0.884223, 0.386082, 0.262849]","[0.631365, 0.340233, 0.696864]"
"[0.174319, -0.100608, 0.979536]","[0.026622, -0.208075, 0.977751]","[-0.097665, -0.330460, 0.938753]","[-0.338181, 0.151450, -0.928815]","[-0.390044, -0.206326, -0.897383]","[0.249319, -0.118997, -0.961083]","[-0.066206, -0.178397, -0.981729]","[-0.924584, 0.294086, -0.242195]","[-0.540532, 0.788709, -0.292854]","[0.868992, 0.467297, 0.162750]","[0.602750, 0.449792, 0.659075]"
"[0.188529, -0.079135, 0.978874]","[0.014671, -0.203285, 0.979010]","[-0.073210, -0.285817, 0.955484]","[-0.367124, 0.112890, -0.923296]","[-0.407696, -0.156929, -0.899532]","[0.220238, -0.115578, -0.968575]","[-0.069709, -0.172975, -0.982456]","[-0.937813, 0.269157, -0.219230]","[-0.609197, 0.745052, -0.271618]","[0.885245, 0.430097, 0.177084]","[0.624770, 0.513503, 0.588198]"
"[0.168723, -0.066038, 0.983449]","[0.047056, -0.168776, 0.984530]","[-0.089614, -0.251016, 0.963826]","[-0.398546, 0.115136, -0.909893]","[-0.432366, -0.137173, -0.891203]","[0.201474, -0.116455, -0.972546]","[-0.066966, -0.163841, -0.984211]","[-0.951354, 0.243936, -0.188206]","[-0.700862, 0.682795, -0.206360]","[0.783812, 0.602784, 0.149297]","[0.658870, 0.439853, 0.610261]"
"[0.128035, -0.055333, 0.990225]","[0.084493, -0.144908, 0.985831]","[-0.103092, -0.267314, 0.958079]","[-0.425526, 0.104903, -0.898845]","[-0.432614, -0.147498, -0.889432]","[0.205295, -0.100589, -0.973517]","[-0.053812, -0.112085, -0.992240]","[-0.977894, 0.166790, -0.126112]","[-0.726285, 0.668760, -0.158965]","[0.644757, 0.763526, 0.036277]","[0.653492, 0.369696, 0.660510]"
"[0.070409, -0.060378, 0.995689]","[0.114528, -0.111383, 0.987156]","[-0.124397, -0.327953, 0.936468]","[-0.412387, 0.108588, -0.904514]","[-0.428912, -0.129176, -0.894063]","[0.218050, -0.072953, -0.973207]","[-0.037193, -0.037630, -0.998599]","[-0.987204, 0.142607, -0.071358]","[-0.650210, 0.747820, -0.134137]","[0.559591, 0.825787, -0.070236]","[0.613429, 0.400549, 0.680636]"
"[0.020322, -0.082886, 0.996352]","[0.083236, -0.058370, 0.994819]","[-0.131034, -0.341725, 0.930620]","[-0.397150, 0.105908, -0.911622]","[-0.400764, -0.074482, -0.913149]","[0.193358, -0.058343, -0.979392]","[-0.037813, -0.023050, -0.999019]","[-0.979244, 0.198130, -0.042735]","[-0.562100, 0.817022, -0.128525]","[0.606320, 0.781744, -0.145778]","[0.542054, 0.442966, 0.714114]"
"[-0.009571, -0.099700, 0.994972]","[0.026273, -0.009479, 0.999610]","[-0.132400, -0.274988, 0.952288]","[-0.381278, 0.114778, -0.917308]","[-0.367234, -0.018277, -0.929949]","[0.155513, -0.008273, -0.987799]","[-0.019006, -0.077140, -0.996839]","[-0.973112, 0.220512, -0.066533]","[-0.457527, 0.888612, -0.032215]","[0.606383, 0.754763, -0.250264]","[0.470377, 0.401584, 0.785796]"
"[-0.030056, -0.101586, 0.994373]","[-0.025787, 0.017405, 0.999516]","[-0.148200, -0.206559, 0.967145]","[-0.372305, 0.147299, -0.916347]","[-0.330500, 0.005556, -0.943790]","[0.133899, 0.005524, -0.990980]","[0.010084, -0.073132, -0.997271]","[-0.944952, 0.296144, -0.139156]","[-0.333043, 0.942898, -0.005079]","[0.648278, 0.712748, -0.267817]","[0.403584, 0.283729, 0.869838]"
"[-0.048047, -0.090842, 0.994706]","[-0.078030, 0.040414, 0.996132]","[-0.205045, -0.159118, 0.965732]","[-0.333158, 0.206294, -0.920026]","[-0.297516, 0.009287, -0.954672]","[0.109754, -0.016567, -0.993821]","[0.030205, -0.048347, -0.998374]","[-0.900249, 0.341523, -0.270025]","[-0.209287, 0.975340, 0.070081]","[0.560619, 0.742046, -0.367524]","[0.219739, 0.202729, 0.954262]"
"[-0.071044, -0.051270, 0.996155]","[-0.179118, 0.040157, 0.983008]","[-0.268194, -0.106339, 0.957478]","[-0.310174, 0.218022, -0.925342]","[-0.274184, -0.007495, -0.961648]","[0.014879, -0.082491, -0.996481]","[0.025405, -0.065418, -0.997535]","[-0.849353, 0.285601, -0.443882]","[-0.113190, 0.989381, 0.091181]","[0.459589, 0.802004, -0.381532]","[0.052488, 0.068641, 0.996260]"
"[-0.069728, -0.005356, 0.997552]","[-0.270904, 0.059862, 0.960743]","[-0.395910, -0.089413, 0.913926]","[-0.274887, 0.216750, -0.936727]","[-0.271363, -0.037356, -0.961752]","[-0.067117, -0.156177, -0.985446]","[0.015891, -0.080208, -0.996651]","[-0.820118, 0.065329, -0.568453]","[-0.192650, 0.978551, 0.072962]","[0.315818, 0.847144, -0.427325]","[-0.251842, 0.160127, 0.954429]"
"[-0.094109, 0.018384, 0.995392]","[-0.329791, 0.115737, 0.936933]","[-0.519962, -0.067090, 0.851551]","[-0.253781, 0.206622, -0.944935]","[-0.251795, -0.046456, -0.966665]","[-0.128672, -0.173657, -0.976364]","[0.011051, -0.110778, -0.993784]","[-0.764811, -0.174399, -0.620201]","[-0.341514, 0.939358, 0.031214]","[0.257345, 0.892212, -0.371121]","[-0.455333, 0.278689, 0.845579]"
"[-0.112347, 0.062391, 0.991708]","[-0.399913, 0.146283, 0.904804]","[-0.627979, -0.017919, 0.778024]","[-0.265456, 0.217725, -0.939217]","[-0.212499, -0.051859, -0.975784]","[-0.181373, -0.178337, -0.967109]","[0.020290, -0.115745, -0.993072]","[-0.690363, -0.265104, -0.673141]","[-0.436980, 0.892269, 0.113599]","[0.185709, 0.900716, -0.392712]","[-0.624634, 0.338908, 0.703544]"
"[-0.138589, 0.141291, 0.980219]","[-0.475863, 0.181675, 0.860552]","[-0.721761, 0.094869, 0.685610]","[-0.276338, 0.216840, -0.936279]","[-0.178148, -0.058179, -0.982282]","[-0.207496, -0.147448, -0.967060]","[0.028482, -0.071190, -0.997056]","[-0.601841, -0.295208, -0.742051]","[-0.506234, 0.859020, 0.076231]","[0.150873, 0.874572, -0.460826]","[-0.749020, 0.388963, 0.536355]"
"[-0.176273, 0.194456, 0.964943]","[-0.548887, 0.233947, 0.802491]","[-0.801671, 0.242197, 0.546502]","[-0.300491, 0.231801, -0.925188]","[-0.115108, -0.038162, -0.992620]","[-0.210008, -0.103302, -0.972227]","[0.024017, -0.040049, -0.998909]","[-0.525703, -0.260843, -0.809690]","[-0.489832, 0.870031, 0.055766]","[0.061225, 0.838561, -0.541356]","[-0.883982, 0.346308, 0.314081]"
"[-0.209957, 0.226011, 0.951229]","[-0.605371, 0.306545, 0.734545]","[-0.816814, 0.376463, 0.437139]","[-0.315633, 0.240782, -0.917824]","[-0.064548, -0.001208, -0.997914]","[-0.215579, -0.059422, -0.974677]","[0.027494, 0.003026, -0.999617]","[-0.463349, -0.244284, -0.851841]","[-0.478229, 0.877465, -0.036785]","[0.063965, 0.811988, -0.580159]","[-0.935098, 0.342856, 0.089676]"
"[-0.230623, 0.224637, 0.946758]","[-0.646943, 0.363283, 0.670440]","[-0.878351, 0.353575, 0.321689]","[-0.321241, 0.247190, -0.914167]","[-0.028406, 0.014841, -0.999486]","[-0.210976, -0.018816, -0.977310]","[0.041283, 0.027951, -0.998756]","[-0.426259, -0.201808, -0.881803]","[-0.517947, 0.852910, -0.065388]","[0.042508, 0.772945, -0.633047]","[-0.895580, 0.437688, -0.079789]"
"[-0.259096, 0.200758, 0.944757]","[-0.681132, 0.381236, 0.625074]","[-0.928467, 0.251513, 0.273296]","[-0.315727, 0.228113, -0.921022]","[0.021571, 0.048953, -0.998568]","[-0.206978, 0.015289, -0.978226]","[0.059256, 0.043565, -0.997292]","[-0.361194, -0.187763, -0.913392]","[-0.588395, 0.790663, -0.169245]","[0.111119, 0.779499, -0.616469]","[-0.854520, 0.449961, -0.259480]"
"[-0.253615, 0.201520, 0.946081]","[-0.674830, 0.407692, 0.615136]","[-0.973206, 0.179424, 0.143796]","[-0.301637, 0.204295, -0.931278]","[0.037622, 0.041108, -0.998446]","[-0.199458, 0.026298, -0.979553]","[0.060465, 0.028783, -0.997755]","[-0.359225, -0.179059, -0.915912]","[-0.631531, 0.743895, -0.218605]","[0.116998, 0.752779, -0.647793]","[-0.858999, 0.414752, -0.300170]"
"[-0.255455, 0.214096, 0.942818]","[-0.679150, 0.433591, 0.592245]","[-0.984011, 0.177428, 0.015555]","[-0.266031, 0.182135, -0.946602]","[0.025721, 0.031930, -0.999159]","[-0.197876, 0.011395, -0.980161]","[0.046046, 0.011041, -0.998878]","[-0.371789, -0.151347, -0.915897]","[-0.615872, 0.747345, -0.249353]","[0.187842, 0.738193, -0.647909]","[-0.900741, 0.327865, -0.284906]"
"[-0.266777, 0.199418, 0.942901]","[-0.685584, 0.457936, 0.565923]","[-0.970712, 0.229062, -0.072443]","[-0.243730, 0.164138, -0.955853]","[0.019205, 0.043110, -0.998886]","[-0.203173, 0.002470, -0.979140]","[0.047568, 0.015927, -0.998741]","[-0.380172, -0.116363, -0.917567]","[-0.597607, 0.778397, -0.192258]","[0.226907, 0.722802, -0.652741]","[-0.923778, 0.263869, -0.277503]"
"[-0.278789, 0.199743, 0.939351]","[-0.718615, 0.446461, 0.533165]","[-0.971356, 0.213370, -0.104599]","[-0.223648, 0.133323, -0.965508]","[0.016773, 0.067757, -0.997561]","[-0.195065, -0.007279, -0.980763]","[0.042721, 0.016206, -0.998956]","[-0.429711, -0.158878, -0.888879]","[-0.574822, 0.798906, -0.177001]","[0.278930, 0.749824, -0.599968]","[-0.941408, 0.173036, -0.289501]"
"[-0.256790, 0.242955, 0.935432]","[-0.736607, 0.424840, 0.526233]","[-0.979114, 0.151649, -0.135417]","[-0.212689, 0.123918, -0.969231]","[0.022065, 0.090593, -0.995644]","[-0.185339, -0.030997, -0.982186]","[0.031743, -0.014510, -0.999391]","[-0.498841, -0.177704, -0.848280]","[-0.544693, 0.820462, -0.173640]","[0.293099, 0.728311, -0.619399]","[-0.932676, 0.223915, -0.282804]"
"[-0.242307, 0.323355, 0.914729]","[-0.746288, 0.390287, 0.539194]","[-0.969928, 0.206859, -0.128253]","[-0.204011, 0.145208, -0.968140]","[0.038896, 0.102708, -0.993951]","[-0.196111, -0.006068, -0.980563]","[0.022241, -0.031227, -0.999265]","[-0.554685, -0.173040, -0.813868]","[-0.585947, 0.774276, -0.239085]","[0.324305, 0.743458, -0.584890]","[-0.889439, 0.321387, -0.324975]"
"[-0.239371, 0.360942, 0.901345]","[-0.727768, 0.385359, 0.567320]","[-0.910424, 0.380066, -0.163333]","[-0.229873, 0.199255, -0.952605]","[0.053937, 0.091010, -0.994388]","[-0.204029, 0.028224, -0.978558]","[0.026556, -0.019204, -0.999463]","[-0.605642, -0.193371, -0.771885]","[-0.652504, 0.708584, -0.268604]","[0.302681, 0.737274, -0.603996]","[-0.873919, 0.397066, -0.280366]"
"[-0.263959, 0.351930, 0.898037]","[-0.718858, 0.346712, 0.602523]","[-0.855617, 0.478766, -0.196729]","[-0.263750, 0.197880, -0.944076]","[0.044356, 0.062122, -0.997082]","[-0.206673, 0.018262, -0.978240]","[0.025953, 0.029221, -0.999236]","[-0.654451, -0.148770, -0.741324]","[-0.628421, 0.713969, -0.308766]","[0.290636, 0.741538, -0.604692]","[-0.873327, 0.432822, -0.223528]"
"[-0.276187, 0.294460, 0.914885]","[-0.685157, 0.328128, 0.650301]","[-0.846172, 0.516049, -0.132987]","[-0.300636, 0.196577, -0.933261]","[0.022329, 0.012312, -0.999675]","[-0.202150, 0.008968, -0.979313]","[0.019378, 0.039523, -0.999031]","[-0.718815, -0.069722, -0.691697]","[-0.571543, 0.780247, -0.254073]","[0.270642, 0.736601, -0.619816]","[-0.861345, 0.462009, -0.211266]"
"[-0.261691, 0.240302, 0.934758]","[-0.636155, 0.360110, 0.682369]","[-0.866606, 0.498973, 0.004349]","[-0.328465, 0.203278, -0.922382]","[0.024653, 0.005605, -0.999680]","[-0.216439, -0.029269, -0.975857]","[0.010203, 0.049496, -0.998722]","[-0.782489, -0.093353, -0.615627]","[-0.533183, 0.814297, -0.229424]","[0.260715, 0.731438, -0.630100]","[-0.888148, 0.447479, -0.104674]"
"[-0.236211, 0.206901, 0.949419]","[-0.587673, 0.378691, 0.715006]","[-0.894970, 0.432363, 0.109957]","[-0.374772, 0.176237, -0.910213]","[0.010926, 0.032355, -0.999417]","[-0.245591, -0.067835, -0.966997]","[0.011413, 0.046309, -0.998862]","[-0.803773, -0.166762, -0.571086]","[-0.545159, 0.808770, -0.220665]","[0.289215, 0.714418, -0.637151]","[-0.918481, 0.393809, 0.036165]"
"[-0.215648, 0.164240, 0.962560]","[-0.551207, 0.349349, 0.757711]","[-0.896080, 0.384416, 0.221958]","[-0.406031, 0.179938, -0.895969]","[-0.026237, 0.040172, -0.998848]","[-0.249626, -0.085546, -0.964556]","[-0.009381, 0.057865, -0.998280]","[-0.812076, -0.198999, -0.548573]","[-0.522691, 0.816095, -0.246543]","[0.344756, 0.737281, -0.580999]","[-0.908201, 0.392130, 0.146304]"
"[-0.203977, 0.100126, 0.973842]","[-0.527171, 0.300386, 0.794896]","[-0.910136, 0.333871, 0.245320]","[-0.407825, 0.251386, -0.877772]","[-0.058187, 0.030280, -0.997846]","[-0.215530, -0.060489, -0.974622]","[-0.031772, 0.052742, -0.998103]","[-0.815293, -0.170707, -0.553314]","[-0.465166, 0.825489, -0.319670]","[0.434381, 0.747673, -0.502293]","[-0.888330, 0.433156, 0.152467]"
"[-0.175524, 0.081121, 0.981127]","[-0.483581, 0.276832, 0.830369]","[-0.933852, 0.167634, 0.315941]","[-0.364595, 0.318838, -0.874879]","[-0.107825, 0.023023, -0.993903]","[-0.163410, -0.044261, -0.985565]","[-0.038926, 0.051488, -0.997915]","[-0.836592, -0.117445, -0.535089]","[-0.408199, 0.819684, -0.401860]","[0.537135, 0.732078, -0.418985]","[-0.814191, 0.547308, 0.193770]"
"[-0.156836, 0.079421, 0.984426]","[-0.446491, 0.229710, 0.864800]","[-0.891038, -0.068960, 0.448660]","[-0.353858, 0.352404, -0.866369]","[-0.134443, 0.051088, -0.989604]","[-0.110294, -0.012065, -0.993826]","[-0.008016, 0.084083, -0.996426]","[-0.820732, -0.062664, -0.567867]","[-0.383181, 0.793632, -0.472569]","[0.619322, 0.701153, -0.353305]","[-0.696747, 0.648514, 0.306551]"
"[-0.140185, 0.074263, 0.987336]","[-0.432338, 0.177855, 0.883997]","[-0.815695, -0.178159, 0.550364]","[-0.336567, 0.353526, -0.872778]","[-0.145744, 0.086555, -0.985529]","[-0.069342, 0.037820, -0.996876]","[0.013093, 0.070659, -0.997415]","[-0.799671, 0.012657, -0.600305]","[-0.414591, 0.748480, -0.517582]","[0.685496, 0.680862, -0.257917]","[-0.596339, 0.599727, 0.533581]"
"[-0.106487, 0.099062, 0.989367]","[-0.384087, 0.161100, 0.909134]","[-0.687208, -0.228830, 0.689480]","[-0.338447, 0.314972, -0.886705]","[-0.148844, 0.114704, -0.982186]","[-0.024355, 0.077136, -0.996723]","[0.004630, 0.049745, -0.998751]","[-0.780845, 0.021961, -0.624338]","[-0.483131, 0.657957, -0.577648]","[0.744656, 0.651099, -0.146827]","[-0.420177, 0.663206, 0.619362]"
"[-0.051019, 0.109443, 0.992683]","[-0.320574, 0.135208, 0.937524]","[-0.611963, -0.217722, 0.760328]","[-0.329762, 0.314947, -0.889981]","[-0.134461, 0.129128, -0.982469]","[0.031973, 0.077104, -0.996510]","[-0.022083, 0.018058, -0.999593]","[-0.791669, 0.036668, -0.609849]","[-0.492650, 0.550747, -0.673775]","[0.760147, 0.648035, -0.047204]","[-0.191310, 0.675250, 0.712347]"
"[-0.027717, 0.069676, 0.997185]","[-0.270478, 0.108127, 0.956635]","[-0.524716, -0.246598, 0.814777]","[-0.293788, 0.309964, -0.904218]","[-0.164661, 0.087493, -0.982462]","[0.067712, 0.051308, -0.996385]","[-0.051044, 0.017142, -0.998549]","[-0.808773, -0.056279, -0.585421]","[-0.534444, 0.442724, -0.719976]","[0.750879, 0.656288, 0.073945]","[0.027687, 0.759205, 0.650262]"
"[-0.031920, -0.020389, 0.999282]","[-0.187281, 0.114252, 0.975639]","[-0.456808, -0.272496, 0.846801]","[-0.265115, 0.281585, -0.922184]","[-0.172045, 0.064704, -0.982962]","[0.116271, 0.046319, -0.992137]","[-0.089552, 0.004244, -0.995973]","[-0.786308, -0.063874, -0.614524]","[-0.383637, 0.450139, -0.806348]","[0.751121, 0.638355, 0.168283]","[0.185620, 0.772500, 0.607280]"
"[-0.022136, -0.075722, 0.996883]","[-0.119298, 0.091702, 0.988615]","[-0.382513, -0.326279, 0.864422]","[-0.231256, 0.272754, -0.933877]","[-0.171693, 0.079610, -0.981928]","[0.167512, 0.037320, -0.985163]","[-0.130702, -0.028667, -0.991007]","[-0.798455, -0.098373, -0.593963]","[-0.166499, 0.596089, -0.785465]","[0.773730, 0.578214, 0.258866]","[0.291412, 0.712893, 0.637857]"
"[0.007697, -0.080473, 0.996727]","[-0.069728, 0.022291, 0.997317]","[-0.328874, -0.363829, 0.871476]","[-0.192254, 0.273258, -0.942533]","[-0.149173, 0.149784, -0.977401]","[0.232363, 0.035166, -0.971993]","[-0.142789, -0.031225, -0.989260]","[-0.819528, -0.061620, -0.569717]","[-0.084824, 0.718516, -0.690319]","[0.811603, 0.471299, 0.345221]","[0.320317, 0.622625, 0.713958]"
"[0.041195, -0.095751, 0.994553]","[-0.027013, -0.030005, 0.999185]","[-0.264747, -0.384776, 0.884226]","[-0.154697, 0.268711, -0.950717]","[-0.128623, 0.198551, -0.971614]","[0.292354, 0.048287, -0.955090]","[-0.159645, -0.057756, -0.985483]","[-0.784755, -0.037634, -0.618663]","[-0.059424, 0.798642, -0.598866]","[0.858774, 0.315955, 0.403336]","[0.339804, 0.486870, 0.804668]"
"[0.071690, -0.122835, 0.989834]","[0.022801, -0.039350, 0.998965]","[-0.278879, -0.363379, 0.888922]","[-0.116796, 0.229501, -0.966275]","[-0.124549, 0.220759, -0.967343]","[0.325386, 0.013985, -0.945478]","[-0.209354, -0.142430, -0.967411]","[-0.717312, 0.116124, -0.687007]","[-0.053113, 0.807448, -0.587543]","[0.885961, 0.112242, 0.449973]","[0.400065, 0.374713, 0.836384]"
"[0.097496, -0.117591, 0.988265]","[0.073211, -0.055482, 0.995772]","[-0.281868, -0.369709, 0.885362]","[-0.088229, 0.155761, -0.983847]","[-0.139225, 0.218548, -0.965843]","[0.339489, -0.026588, -0.940234]","[-0.232976, -0.216357, -0.948109]","[-0.672965, 0.299856, -0.676169]","[-0.015616, 0.806304, -0.591296]","[0.862922, -0.137548, 0.486258]","[0.451435, 0.251371, 0.856165]"
"[0.103792, -0.106330, 0.988899]","[0.139048, -0.039286, 0.989506]","[-0.293548, -0.379248, 0.877497]","[-0.088636, 0.099769, -0.991055]","[-0.154332, 0.201595, -0.967234]","[0.351685, -0.050312, -0.934765]","[-0.229738, -0.249561, -0.940712]","[-0.629033, 0.387797, -0.673744]","[0.044025, 0.867668, -0.495190]","[0.830373, -0.337210, 0.443588]","[0.477170, 0.096067, 0.873544]"
"[0.093631, -0.118364, 0.988546]","[0.185646, -0.034279, 0.982019]","[-0.307412, -0.344265, 0.887119]","[-0.070704, 0.111329, -0.991265]","[-0.176656, 0.142795, -0.973859]","[0.330661, -0.040618, -0.942875]","[-0.230649, -0.287946, -0.929456]","[-0.694133, 0.398361, -0.599572]","[0.090686, 0.882547, -0.461396]","[0.859313, -0.338454, 0.383444]","[0.481560, -0.081689, 0.872598]"
"[0.131434, -0.110034, 0.985199]","[0.192966, -0.060576, 0.979334]","[-0.278481, -0.309117, 0.909337]","[-0.039772, 0.105863, -0.993585]","[-0.215396, 0.097542, -0.971643]","[0.323140, -0.041488, -0.945441]","[-0.245545, -0.318667, -0.915510]","[-0.740682, 0.408380, -0.533494]","[0.061904, 0.877746, -0.475110]","[0.882217, -0.316270, 0.348807]","[0.524848, -0.087825, 0.846653]"
"[0.180754, -0.096936, 0.978740]","[0.195894, -0.061088, 0.978720]","[-0.250398, -0.270720, 0.929522]","[-0.056406, 0.014362, -0.998305]","[-0.290065, 0.012336, -0.956927]","[0.336745, -0.022717, -0.941322]","[-0.288925, -0.331772, -0.898025]","[-0.674262, 0.503173, -0.540544]","[0.036549, 0.897954, -0.438569]","[0.753204, -0.498065, 0.429669]","[0.673744, -0.055860, 0.736850]"
"[0.195299, -0.117490, 0.973681]","[0.216053, -0.042347, 0.975463]","[-0.255599, -0.251615, 0.933466]","[-0.076505, -0.028115, -0.996673]","[-0.320504, -0.045001, -0.946178]","[0.392278, 0.043787, -0.918804]","[-0.325260, -0.330782, -0.885883]","[-0.757229, 0.340456, -0.557399]","[0.035285, 0.892591, -0.449485]","[0.533568, -0.711203, 0.457708]","[0.781872, -0.012722, 0.623310]"
"[0.184778, -0.113798, 0.976170]","[0.250616, -0.019922, 0.967881]","[-0.240086, -0.218166, 0.945919]","[-0.124615, -0.095089, -0.987638]","[-0.360060, -0.055011, -0.931306]","[0.429713, 0.085813, -0.898879]","[-0.338112, -0.278433, -0.898975]","[-0.782979, 0.222867, -0.580753]","[0.102861, 0.889046, -0.446114]","[0.726830, -0.674900, 0.127392]","[0.886476, 0.057109, 0.459238]"
"[0.181716, -0.099050, 0.978350]","[0.268090, -0.012413, 0.963314]","[-0.255226, -0.183478, 0.949313]","[-0.168008, -0.143194, -0.975330]","[-0.400753, -0.012025, -0.916107]","[0.410470, 0.046440, -0.910691]","[-0.318358, -0.248128, -0.914921]","[-0.542053, 0.491010, -0.681973]","[0.220531, 0.876776, -0.427351]","[0.725033, -0.362057, -0.585868]","[0.934274, -0.180731, 0.307359]"
"[0.191019, -0.080890, 0.978248]","[0.253675, -0.037064, 0.966579]","[-0.235802, -0.177395, 0.955473]","[-0.168257, -0.113954, -0.979134]","[-0.448688, 0.049495, -0.892317]","[0.378958, -0.016186, -0.925273]","[-0.301313, -0.213626, -0.929287]","[-0.277852, 0.526641, -0.803397]","[0.352453, 0.831480, -0.429439]","[0.594062, -0.409316, -0.692496]","[0.804198, -0.540106, 0.248093]"
"[0.186506, -0.077576, 0.979386]","[0.214786, -0.049568, 0.975403]","[-0.204096, -0.189078, 0.960518]","[-0.185228, -0.065890, -0.980484]","[-0.480976, 0.052114, -0.875184]","[0.356931, -0.098550, -0.928918]","[-0.310279, -0.137935, -0.940586]","[-0.043763, 0.473368, -0.879777]","[0.449854, 0.753579, -0.479322]","[0.367889, -0.703155, -0.608466]","[0.745061, -0.639510, 0.189504]"
"[0.159126, -0.100797, 0.982099]","[0.170851, -0.001060, 0.985296]","[-0.133784, -0.248042, 0.959467]","[-0.227960, -0.061356, -0.971735]","[-0.500618, -0.046248, -0.864432]","[0.321542, -0.145463, -0.935655]","[-0.316838, -0.099281, -0.943269]","[0.554417, 0.005148, -0.832223]","[0.763996, 0.574401, -0.293893]","[0.192620, -0.865836, -0.461763]","[0.784044, -0.604526, 0.140798]"
"[0.131950, -0.078433, 0.988149]","[0.181535, 0.056633, 0.981752]","[-0.130761, -0.283617, 0.949981]","[-0.282951, -0.115724, -0.952128]","[-0.521872, -0.076687, -0.849570]","[0.334898, -0.166407, -0.927444]","[-0.330815, -0.078001, -0.940466]","[0.642955, -0.444025, -0.624060]","[0.793709, 0.596293, -0.120255]","[-0.027944, -0.913464, -0.405959]","[0.691150, -0.721134, -0.047718]"
"[0.085833, -0.036646, 0.995635]","[0.174647, 0.062693, 0.982633]","[-0.124184, -0.279810, 0.951990]","[-0.334096, -0.174372, -0.926269]","[-0.535054, -0.006939, -0.844789]","[0.361648, -0.117724, -0.924852]","[-0.342413, -0.068012, -0.937085]","[0.860419, -0.434570, -0.266136]","[0.839246, 0.543751, -0.000267]","[-0.157172, -0.841865, -0.516294]","[0.505436, -0.836111, -0.213199]"
"[0.043623, 0.020068, 0.998846]","[0.147288, 0.039149, 0.988319]","[-0.113035, -0.292182, 0.949659]","[-0.346415, -0.153683, -0.925407]","[-0.520361, 0.096255, -0.848504]","[0.387263, -0.065273, -0.919656]","[-0.346864, -0.061946, -0.935868]","[0.886560, -0.462409, -0.013744]","[0.904660, 0.422659, 0.054312]","[-0.351093, -0.664178, -0.660001]","[0.248112, -0.887590, -0.388104]"
"[0.036230, 0.064704, 0.997247]","[0.102633, 0.024494, 0.994418]","[-0.140873, -0.336217, 0.931189]","[-0.329605, -0.102330, -0.938557]","[-0.532373, 0.171244, -0.829008]","[0.375132, -0.032236, -0.926411]","[-0.336961, -0.076151, -0.938434]","[0.852817, -0.458203, 0.250508]","[0.928934, 0.364685, 0.063922]","[-0.538660, -0.393647, -0.744908]","[0.069762, -0.854722, -0.514377]"
"[0.038051, 0.120814, 0.991946]","[0.051132, 0.017087, 0.998546]","[-0.185940, -0.383366, 0.904686]","[-0.329647, -0.039345, -0.943284]","[-0.534500, 0.169797, -0.827936]","[0.333258, -0.042815, -0.941863]","[-0.327029, -0.057385, -0.943270]","[0.864056, -0.415194, 0.284644]","[0.911388, 0.394308, 0.117864]","[-0.557736, -0.378658, -0.738613]","[-0.070975, -0.835293, -0.545204]"
"[0.035161, 0.147894, 0.988378]","[0.032838, 0.020237, 0.999256]","[-0.191203, -0.392791, 0.899531]","[-0.317617, 0.013209, -0.948127]","[-0.541623, 0.168061, -0.823651]","[0.289846, -0.035233, -0.956425]","[-0.319937, -0.099611, -0.942188]","[0.919559, -0.304587, 0.248271]","[0.825789, 0.554118, 0.105005]","[-0.610128, -0.323334, -0.723325]","[-0.145118, -0.858892, -0.491167]"
